territori,tipus_de_territori,anys,preu_mitja_lloguer
la nova esquerra de l'eixample,barri,2013,NA
la nova esquerra de l'eixample,barri,2014,732.1343255
la nova esquerra de l'eixample,barri,2015,783.8356
la nova esquerra de l'eixample,barri,2016,870.4811948
la nova esquerra de l'eixample,barri,2017,943.2298595
la nova esquerra de l'eixample,barri,2018,987.6463228
la nova esquerra de l'eixample,barri,2019,1053.832393
la nova esquerra de l'eixample,barri,2020,1034.152891
la nova esquerra de l'eixample,barri,2021,963.1436906
la nova esquerra de l'eixample,barri,2022,1069.604178
la nova esquerra de l'eixample,barri,2023,1177.586098
sant antoni,barri,2000,NA
sant antoni,barri,2001,NA
sant antoni,barri,2002,NA
