territori,tipus_de_territori,anys,edat_mitjana.espanya,edat_mitjana.resta de la unio europea,edat_mitjana.resta del mon
el fort pienc,barri,1997,44.23624726,41.50975359,32.71398446
el fort pienc,barri,1998,44.4795045,40.15034241,32.64010953
el fort pienc,barri,1999,44.56350015,39.94329909,32.32138691
el fort pienc,barri,2000,44.69108754,39.81968416,32.14822558
el fort pienc,barri,2001,44.88809139,39.68906424,31.71566265
el fort pienc,barri,2002,45.15028562,36.74929835,30.89482896
el fort pienc,barri,2003,45.34986263,35.95541968,30.94779084
el fort pienc,barri,2004,45.80469068,35.51165501,31.52224283
el fort pienc,barri,2005,46.0026917,34.54672232,31.51737021
el fort pienc,barri,2006,46.12730056,33.6460756,31.54521524
el fort pienc,barri,2007,46.25430906,32.99874262,31.82085841
el fort pienc,barri,2008,46.43110718,32.88852575,32.18003748
el fort pienc,barri,2009,46.62227714,33.02885801,32.06517539
el fort pienc,barri,2010,46.70812301,33.05638357,32.22141944
el fort pienc,barri,2011,46.85275507,33.26951585,32.58251062
el fort pienc,barri,2012,47.06425579,33.46101858,32.88841117
el fort pienc,barri,2013,47.2259265,33.79126012,33.12704655
el fort pienc,barri,2014,47.33515111,33.86062158,33.23129942
el fort pienc,barri,2015,47.3848605,33.90122794,33.43906379
el fort pienc,barri,2016,47.44670872,33.78661561,33.88271685
el fort pienc,barri,2017,47.58654116,33.8406016,33.88458224
el fort pienc,barri,2018,47.79774828,33.93193066,33.74074969
el fort pienc,barri,2019,47.90072604,34.08774091,34.33435239
el fort pienc,barri,2020,48.13778496,33.96809383,34.39690137
el fort pienc,barri,2021,48.36883073,34.04445767,34.99737303
el fort pienc,barri,2022,48.57849994,34.62226908,34.99024836
el fort pienc,barri,2023,48.6872744,34.68096865,34.78802659
la sagrada familia,barri,1997,45.05446372,37.65259267,32.90630974
la sagrada familia,barri,1998,45.14748362,38.03207099,32.45706508
la sagrada familia,barri,1999,45.36970758,37.34206099,32.69052593
la sagrada familia,barri,2000,45.57984962,37.64721221,32.42355336
la sagrada familia,barri,2001,45.76595291,36.22892019,31.59754432
la sagrada familia,barri,2002,45.83244011,35.53869141,31.18634942
la sagrada familia,barri,2003,46.11568188,34.44059385,31.17725434
la sagrada familia,barri,2004,46.4564621,34.06906959,31.23941266
la sagrada familia,barri,2005,46.81450706,33.60959586,31.69595227
la sagrada familia,barri,2006,46.92824054,33.35811582,32.00608511
la sagrada familia,barri,2007,47.17947803,32.56076433,32.06384975
la sagrada familia,barri,2008,47.44649785,32.69398253,32.17006562
la sagrada familia,barri,2009,47.64521056,33.12371736,32.17362445
la sagrada familia,barri,2010,47.76373868,33.25822242,32.69757784
la sagrada familia,barri,2011,47.90081426,33.38818259,33.06282652
la sagrada familia,barri,2012,47.98791958,33.8840497,33.23778593
la sagrada familia,barri,2013,48.09584778,34.16482211,33.40052868
la sagrada familia,barri,2014,48.22827972,34.77071629,34.14404008
la sagrada familia,barri,2015,48.1796302,34.67761609,33.84617397
la sagrada familia,barri,2016,48.32066818,34.51009816,33.70976278
la sagrada familia,barri,2017,48.48929144,34.44233462,33.60632829
la sagrada familia,barri,2018,48.62148381,34.52142135,33.83908099
la sagrada familia,barri,2019,48.72907202,34.63591167,34.08770506
la sagrada familia,barri,2020,48.92382452,34.5284775,34.28770796
la sagrada familia,barri,2021,48.93956486,34.49136289,34.75780553
la sagrada familia,barri,2022,49.1525557,35.00561509,35.01773354
la sagrada familia,barri,2023,49.20469068,35.11634742,35.23245344
la dreta de l'eixample,barri,1997,47.03530239,44.74674879,37.33856714
la dreta de l'eixample,barri,1998,46.87239673,42.78154769,35.76136326
la dreta de l'eixample,barri,1999,46.8406897,40.94509433,35.4273489
la dreta de l'eixample,barri,2000,46.67877019,40.38123573,34.83864078
la dreta de l'eixample,barri,2001,46.71763939,39.45820798,33.94621589
la dreta de l'eixample,barri,2002,46.73214249,37.501779,33.18420918
la dreta de l'eixample,barri,2003,46.79265084,36.11535396,32.37401792
la dreta de l'eixample,barri,2004,46.81141022,36.00400575,32.50925065
