territori,tipus_de_territori,anys,sense estudis_espanya,sense estudis_resta de la unio europea,sense estudis_resta del mon,"estudis primaris, certificat d'escolaritat, egb_espanya","estudis primaris, certificat d'escolaritat, egb_resta de la unio europea","estudis primaris, certificat d'escolaritat, egb_resta del mon","batxillerat elemental, graduat escolar, eso, fpi_espanya","batxillerat elemental, graduat escolar, eso, fpi_resta de la unio europea","batxillerat elemental, graduat escolar, eso, fpi_resta del mon","batxillerat superior, bup, cou, fpii, cfgm grau mitja_espanya","batxillerat superior, bup, cou, fpii, cfgm grau mitja_resta de la unio europea","batxillerat superior, bup, cou, fpii, cfgm grau mitja_resta del mon","estudis universitaris, cfgs grau superior_espanya","estudis universitaris, cfgs grau superior_resta de la unio europea","estudis universitaris, cfgs grau superior_resta del mon"
el barri gotic,barri,2004,1467,42,483,3076,166,5080,1889,154,1722,2393,331,1829,2075,641,1434
el barri gotic,barri,2005,1370,39,507,2927,267,5656,1897,237,2214,2359,419,2144,2109,820,1762
el barri gotic,barri,2006,1305,41,531,2793,354,5747,1902,327,2269,2328,512,2049,2115,983,1857
el barri gotic,barri,2007,1240,78,389,2706,614,4929,1917,486,2586,2319,745,2176,2122,1274,1749
el barri gotic,barri,2008,1158,74,274,2491,627,3951,1873,537,2224,2279,840,1960,2122,1429,1560
el barri gotic,barri,2009,1063,63,229,2226,584,2916,1873,521,1632,2224,961,1448,2111,1567,1380
el barri gotic,barri,2010,961,19,156,2018,213,1707,1892,316,917,2235,767,821,2152,1442,1030
el barri gotic,barri,2011,846,19,160,1892,205,1548,1833,266,805,2250,706,741,2272,1331,1002
el barri gotic,barri,2012,746,15,130,1765,172,1237,1839,254,700,2247,733,624,2362,1344,1056
el barri gotic,barri,2013,682,13,93,1617,166,1021,1782,260,645,2165,757,632,2355,1469,1007
el barri gotic,barri,2014,619,6,79,1408,165,911,1660,271,569,2072,810,612,2322,1654,1012
el barri gotic,barri,2015,563,6,75,1378,145,833,1638,255,548,2030,779,581,2389,1728,1058
el barri gotic,barri,2016,303,5,18,1594,154,858,1583,235,579,2013,818,595,2399,1835,1223
el barri gotic,barri,2017,272,5,15,1512,145,880,1597,296,794,1958,795,666,2354,1954,1420
el barri gotic,barri,2018,242,6,21,1427,151,1293,1617,298,1036,1915,753,775,2292,1966,1651
el barri gotic,barri,2019,210,NA,31,1355,187,1914,1605,347,1553,1887,889,1077,2302,2192,1913
el barri gotic,barri,2020,189,NA,41,1304,176,2801,1654,398,2668,1837,868,1472,2334,2227,2019
el barri gotic,barri,2021,165,NA,48,1262,150,3068,1669,365,3211,1860,793,1822,2365,1950,2385
el barri gotic,barri,2022,141,NA,48,1232,161,2979,1688,360,3189,1872,802,1852,2362,1994,2291
el barri gotic,barri,2023,117,NA,58,1225,151,3299,1776,330,3870,1881,732,2237,2390,1903,2514
la barceloneta,barri,1997,3602,5,54,4538,11,68,2389,NA,37,1503,9,59,485,5,28
la barceloneta,barri,1998,3457,NA,68,4533,12,103,2438,NA,47,1533,12,71,488,12,37
la barceloneta,barri,1999,3311,NA,87,4497,12,149,2448,6,45,1537,21,110,498,22,50
la barceloneta,barri,2000,3150,NA,88,4414,18,207,2407,8,66,1556,32,155,531,52,76
la barceloneta,barri,2001,2959,NA,110,4263,23,392,2395,12,124,1554,41,235,557,86,149
la barceloneta,barri,2002,2773,NA,104,3945,26,575,2549,26,274,1700,69,386,620,121,235
la barceloneta,barri,2003,2655,7,109,3792,30,766,2537,33,435,1703,103,493,643,184,366
la barceloneta,barri,2004,2452,6,107,3631,36,847,2503,55,494,1643,117,514,698,231,432
la barceloneta,barri,2005,2322,6,95,3459,52,883,2495,80,548,1598,149,467,746,308,447
la barceloneta,barri,2006,2159,NA,87,3319,76,897,2519,126,569,1635,217,487,797,398,476
la barceloneta,barri,2007,2012,5,67,3146,113,829,2525,201,482,1634,302,423,850,574,421
la barceloneta,barri,2008,1946,6,72,2998,120,858,2595,230,556,1656,404,494,911,746,508
la barceloneta,barri,2009,1790,8,75,2796,107,825,2665,235,584,1688,487,518,954,848,571
la barceloneta,barri,2010,1666,6,60,2660,109,755,2792,232,519,1739,497,468,1027,966,596
la barceloneta,barri,2011,1558,6,51,2568,86,728,2774,191,498,1759,462,455,1110,881,618
la barceloneta,barri,2012,1429,5,51,2490,82,734,2823,181,518,1806,521,443,1142,991,664
la barceloneta,barri,2013,1318,6,46,2382,79,714,2770,203,536,1755,570,429,1167,1077,670
la barceloneta,barri,2014,1208,8,47,2292,89,630,2722,197,469,1742,586,431,1198,1115,682
la barceloneta,barri,2015,1127,8,46,2231,78,594,2704,185,457,1771,583,403,1239,1227,763
la barceloneta,barri,2016,637,NA,10,2622,85,619,2644,163,453,1802,605,394,1340,1329,830
la barceloneta,barri,2017,549,NA,7,2460,82,566,2608,206,505,1759,653,447,1323,1448,988
la barceloneta,barri,2018,476,NA,8,2304,90,552,2529,231,497,1738,631,477,1349,1487,1050
la barceloneta,barri,2019,418,NA,7,2190,101,573,2461,254,548,1741,734,549,1365,1644,1180
la barceloneta,barri,2020,370,NA,8,2053,91,564,2436,262,577,1755,759,636,1385,1658,1205
la barceloneta,barri,2021,302,NA,7,1980,80,573,2421,265,637,1746,716,688,1425,1579,1409
la barceloneta,barri,2022,251,NA,7,1874,70,481,2369,254,606,1713,657,673,1416,1500,1263
la barceloneta,barri,2023,213,NA,9,1793,60,435,2289,236,629,1658,643,747,1465,1553,1340
"sant pere, santa caterina i la ribera",barri,1997,3517,9,190,5408,27,250,2726,20,73,2824,43,196,1823,76,121
"sant pere, santa caterina i la ribera",barri,1998,3374,13,223,5296,34,343,2731,23,87,2874,53,227,1888,112,138
"sant pere, santa caterina i la ribera",barri,1999,3158,11,233,5076,34,397,2653,27,110,2820,65,277,1898,130,175
"sant pere, santa caterina i la ribera",barri,2000,2937,11,249,4780,32,490,2587,32,114,2783,74,308,1946,168,212
"sant pere, santa caterina i la ribera",barri,2001,2732,12,289,4567,42,731,2533,43,224,2778,107,463,2057,254,349
"sant pere, santa caterina i la ribera",barri,2002,2562,12,304,4159,43,1167,2653,75,482,3098,201,756,2191,385,561
"sant pere, santa caterina i la ribera",barri,2003,2394,10,320,3951,56,1611,2612,124,714,3060,266,880,2280,544,827
"sant pere, santa caterina i la ribera",barri,2004,2199,10,297,3770,74,1674,2527,164,787,3033,321,934,2372,681,953
"sant pere, santa caterina i la ribera",barri,2005,2056,9,281,3581,91,1831,2482,197,842,2953,384,937,2479,853,1065
"sant pere, santa caterina i la ribera",barri,2006,1937,8,257,3420,100,1866,2476,243,899,2964,433,931,2600,1056,1159
"sant pere, santa caterina i la ribera",barri,2007,1797,10,204,3263,137,1538,2454,324,739,2914,561,767,2651,1298,981
"sant pere, santa caterina i la ribera",barri,2008,1746,11,181,3092,140,1449,2454,342,740,2928,697,813,2674,1546,1066
"sant pere, santa caterina i la ribera",barri,2009,1603,9,173,2889,154,1452,2486,343,768,2954,763,842,2738,1746,1188
